id_these,id_hackaton,Places
ENCPOS_1906_04,h0482,Paris
ENCPOS_1906_05,h0484,Lyon
ENCPOS_1906_06,h0588,Moyen Âge
ENCPOS_1906_06,h0588,XIe-XIIIe siècles
ENCPOS_1906_08,h0699,Nord
ENCPOS_1906_08,h0699,Alpes
ENCPOS_1906_09,h0705,Nivernais
ENCPOS_1906_09,h0705,XVIIIe
ENCPOS_1906_10,h0470,Paris
ENCPOS_1906_12,h1115,Vienne
ENCPOS_1906_12,h1115,XIVe
ENCPOS_1906_12,h1115,XVe siècles
ENCPOS_1906_14,h1414,Limoges
ENCPOS_1906_17,h2119,abbaye de Jumièges
ENCPOS_1906_17,h2119,Seine
ENCPOS_1906_18,h2676,abbaye de Saint-Remi de Reims
ENCPOS_1906_18,h2676,commende
ENCPOS_1907_01,h0060,Senlis 
ENCPOS_1907_02,h0497,Bretagne
ENCPOS_1907_03,h0623,Épinal
ENCPOS_1907_03,h0623,Metz
