,Places,latitude,longitude
731,Tarn,43.7921741,2.133964772269535
733,Ternes,48.8782859,2.2990808
734,Terrage,47.041425,0.1346972
735,Terre,8.5322391,38.6264712
737,Thiérache,49.8104716,4.086260120288538
738,Thérouanne,50.6360072,2.2577246
739,Tilbury,51.4631174,0.3643896
740,Tobago,11.24046155,-60.67200597857749
741,Tolède,39.8560679,-4.0239568
742,Tombes,41.7972373,8.773165850000002
743,Tonkin,51.2095456,-102.2643895
744,Torigni-Sur-Vire,49.034722,-0.9791576
745,Toscane,43.4586541,11.1389204
746,Toul,48.6762624,5.8941759
747,Toulon,43.1257311,5.9304919
748,Toulouse,43.6044622,1.4442469
749,Touraine,49.1369787,4.8887351
750,Tournehem,50.8047186,2.0448899
751,Tournon,45.0675156,4.832852
752,Tours,47.3900474,0.6889268
754,Troie,39.957373950000004,26.238017461011644
755,Trois-Fontaine,49.187065,5.7482003
756,Troyes,48.2971626,4.0746257
757,Tréguier,48.784201,-3.2319779
758,Trêves,49.7596208,6.6441878
759,Tuchins,45.9721041,3.2595601
760,Turquie,38.9597594,34.9249653
761,Ukraine,49.4871968,31.2718321
764,Uzès,44.0121279,4.4196718
766,Valais,46.2303063,7.6605757
767,Valence,39.4697065,-0.3763353
768,Valenciennes,50.3579317,3.5234846
769,Vallouise,44.82300515,6.395757913505449
770,Valognes,49.5089547,-1.4708174
771,Vannes,47.6586772,-2.7599079
772,Var,43.4173592,6.2664620128919
773,Vauclair,48.3574504,-2.6465313
774,Vaucluse,43.993864349999996,5.1818898389002355
775,Vaudois,46.523272,6.6317433
776,Vaudémont,48.417,6.0565
777,Velay,46.8853391,4.3301417
778,Venise,45.4371908,12.3345898
779,Verdun,49.1589278,5.3867277
780,Verre,46.3537787,4.8442465
781,Versailles,48.8035403,2.1266886
782,Vertus,48.9021524,3.9985237791580968
783,Vexin,-34.6793333,-58.5099036
784,Vichy,46.1239268,3.4203712
786,Vienne,48.2083537,16.3725042
787,Viennois,37.9783619,23.7564495
791,Villedieu-Les-Poêles,48.8381226,-1.2220882
792,Villeneuve,45.0835468,-0.6280356
793,Villepreux,48.8304112,2.0101595468474773
